42.7664	14.8294	0	0	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938
42.6264	14.8584	2.69131	0.933219	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938
45.356	16.5477	2.87595	2.0452	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701
45.3814	16.5553	2.64743	1.93464	45.649	16.5213	45.4265	16.3307	2.64546	1.29701
48.1548	17.2898	2.7034	0.116098	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832
48.1533	17.2921	2.80359	0.151845	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832
50.6241	19.0618	2.34313	2.77937	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454
50.574	19.0402	2.14185	2.68954	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454
53.7192	19.9102	3.88458	-0.294573	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716
53.6041	19.8692	3.31157	-0.491775	53.5277	19.862	53.3577	19.9486	2.59372	1.07716
56.0389	21.0807	1.78231	2.3418	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022
56.0299	21.0776	1.88407	2.3846	55.867	20.985	55.9669	20.9874	2.56561	0.978022
58.6577	21.7937	3.16321	-0.416605	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205
58.656	21.7944	3.16018	-0.415439	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205
60.8798	22.7781	1.4836	1.91141	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031
